token,ig_score,shap_score
one,0.674223624065742,
star,0.4851277276376711,
very,0.28585868941168113,
low,0.2561236053945854,
.,0.20776357741422802,
.,0.16471822304489073,
returned,0.13850090125222256,
dent,0.10107414730119797,
and,0.08503906646844703,
quality,0.08305460968250743,
had,0.07660074350138187,
and,0.07426474796748399,
packaging,0.07141782168036728,
both,0.06874184053023442,0.007087427191436291
.,0.06598819515500924,
##s,0.060101787622109305,
both,0.05790227018979314,0.007087427191436291
and,0.052885728226009246,
.,0.05079785861514564,
por,0.04492316234717483,
metal,0.04448514234915564,
##s,0.043329957875635663,
[SEP],0.042108874018956084,
two,0.03627904890258686,
thin,0.023022477879716684,
ding,0.0131299756845537,
##e,0.010376664810919888,
[CLS],0.0032272818630833355,
ordered,-0.035259375003588805,
 ,,0.005336363799870014
 ,,0.002444008830934763
 ,,0.015215732622891665
 ,,0.00587026122957468
One ,,0.20006191823631525
Ordered ,,-0.03900266718119383
Pore ,,0.01332323526730761
Returned ,,0.10721851885318756
Star.,,0.005122619681060314
Very ,,0.015569358132779598
and ,,-0.007779827108606696
and ,,-0.01036765449680388
and ,,-0.004921728977933526
both ,,0.02424114110181108
dents.,,0.05053145776037127
dings ,,0.07333720207680017
had ,,0.08041958307148889
low ,,0.17952402483206242
metal.,,0.020892993663437665
packaging ,,-0.017266194394323975
quality.,,0.04450758651364595
thin ,,0.09365858614910394
two ,,0.038310283329337835
